"";"x"
"1";139,25
"2";309,03
"3";277,03
"4";186,63
"5";475,46
"6";216,45
"7";186,26
"8";279,48
"9";273,83
"10";186,49
"11";135,36
"12";194,27
"13";156,99
"14";212,56
"15";487,88
"16";142,82
"17";121,84
"18";185,47
"19";301,76
"20";185,56
"21";111,28
"22";195,24
"23";1637,24
"24";192,74
"25";232,24
"26";148,47
"27";99,52
"28";276,24
"29";243,31
"30";216,64
"31";234,19
"32";94,38
"33";205,34
"34";219,79
"35";109,11
"36";137,73
"37";106,47
"38";593,97
"39";140,41
"40";99,06
"41";220,11
"42";543,17
"43";267,53
"44";294,76
"45";98,46
"46";185,52
"47";279,48
"48";248,96
"49";290,5
"50";207,84
"51";145,55
"52";215,06
"53";121,1
"54";742,16
"55";222,57
"56";160,74
"57";367,84
"58";185,84
"59";190,2
"60";112,9
"61";311,25
"62";106,47
"63";196,12
"64";265,77
"65";212,61
"66";758,14
"67";111,93
"68";304,16
"69";187,88
"70";578,32
"71";309,54
"72";185,38
"73";235,95
"74";286,61
"75";288,56
"76";187,05
"77";208,86
"78";187,09
"79";273,09
"80";273,09
"81";273,23
"82";188,3
"83";185,75
"84";274,94
"85";232,29
"86";224
"87";251,23
"88";102,48
"89";109,29
"90";186,12
"91";300
"92";149,03
"93";221,27
"94";315,74
"95";507,7
"96";236,04
"97";315,74
"98";193,3
"99";297,36
"100";276,84
"101";188,3
"102";186,63
"103";102,25
"104";134,25
"105";1413,1
"106";312,08
"107";189,22
"108";297,59
"109";149,3
"110";679,14
"111";189,41
"112";164,86
"113";297,36
"114";361,68
"115";384,47
"116";307,82
"117";355,01
"118";337,46
"119";327,13
"120";346,63
"121";208,95
"122";308,66
"123";185,24
"124";106,42
"125";308,66
"126";475,05
"127";308,66
"128";97,25
"129";95,31
"130";515,66
"131";183,48
"132";308,66
"133";756,89
"134";301,85
"135";142,5
"136";226,69
"137";203,02
"138";192,83
"139";236,55
"140";301,85
"141";186,68
"142";392,57
"143";224,14
"144";269,34
"145";172,23
"146";470,37
"147";266,93
"148";140,6
"149";197,23
"150";129,76
"151";191,68
"152";379,74
"153";336,3
"154";183,76
"155";305,18
"156";399,75
"157";231,55
"158";231,55
"159";221,82
"160";195,06
"161";189,69
"162";413,55
"163";185,29
"164";578,64
"165";297,36
"166";332,74
"167";450,83
"168";139,86
"169";234,56
"170";265,59
"171";197,88
"172";233,22
"173";187,42
"174";245,95
"175";205,2
"176";345,19
"177";642,55
"178";320,42
"179";141,15
"180";192,97
"181";202,19
"182";225,62
"183";225,48
"184";176,77
"185";186,68
"186";208,77
"187";504,87
"188";188,85
"189";196,86
"190";187,09
"191";317,08
"192";257,39
"193";188,02
"194";220,85
"195";246,92
"196";160,51
"197";203,76
"198";204,74
"199";190,7
"200";260,12
"201";187,14
"202";192,09
"203";1971,79
"204";135,09
"205";189,13
"206";463,89
"207";185,33
"208";199,5
"209";188,39
"210";139,58
"211";197,98
"212";154,07
"213";605,78
"214";176,07
"215";190,06
"216";141,62
"217";254,33
"218";264,85
"219";425,13
"220";139,12
"221";310,28
"222";186,54
"223";187,09
"224";262,44
"225";291,85
"226";187,79
"227";1009,97
"228";354,18
"229";206,73
"230";217,7
"231";186,68
"232";185,43
"233";94,94
"234";197,42
"235";187,88
"236";304,4
"237";345,66
"238";182,69
"239";161,25
"240";274,02
"241";442,12
"242";332,74
"243";187
"244";361,13
"245";144,26
"246";223,45
"247";213,49
"248";209,18
"249";133,51
"250";185,84
"251";259,57
"252";112,35
"253";275,54
"254";191,17
"255";543,12
"256";201,22
"257";2191,53
"258";257,99
"259";116,19
"260";819,78
"261";186,68
"262";191,68
"263";145,55
"264";206,59
"265";214,32
"266";135,5
"267";331,35
"268";296,62
"269";279,57
"270";216,96
"271";197,56
"272";185,66
"273";368,95
"274";147,82
"275";226,64
"276";180,01
"277";269,2
"278";219,46
"279";271,01
"280";188,25
"281";192,09
"282";514,41
"283";378,68
"284";211,68
"285";226,87
"286";189,45
"287";176,58
"288";262,81
"289";164,96
"290";108,27
"291";145,83
"292";139,49
"293";357
"294";896,93
"295";96,14
"296";251,23
"297";186,26
"298";93,82
"299";188,62
"300";118,65
"301";131,75
"302";207,1
"303";367,42
"304";140,64
"305";148,79
"306";278,83
"307";326,99
"308";160,7
"309";104,94
"310";235,12
"311";201,45
"312";163,06
"313";444,07
"314";163,01
"315";364,78
"316";246,83
"317";226,36
"318";219,05
"319";123,88
"320";234,14
"321";243,03
"322";410,91
"323";205,85
"324";47,88
"325";203,49
"326";425,22
"327";214,88
"328";171,44
"329";560,58
"330";242,85
"331";204,64
"332";403,78
"333";767,96
"334";328,94
"335";367,28
"336";248,13
"337";158,38
"338";232,71
"339";192,6
"340";458,7
"341";207,75
"342";259,06
"343";241,23
"344";189,04
"345";112,26
"346";185,38
"347";129,67
"348";1162,66
"349";162,36
"350";201,82
"351";193,25
"352";612,91
"353";205,15
"354";245,07
"355";110,73
"356";234,88
"357";208,86
"358";476,53
"359";206,96
"360";98,87
"361";234
"362";187,23
"363";474,26
"364";136,34
"365";191,21
"366";172,92
"367";315,6
"368";251,83
"369";205,52
"370";481,25
"371";189,64
"372";243,73
"373";225,95
"374";191,26
"375";211,96
"376";192,14
"377";280,68
"378";132,22
"379";279,76
"380";502,37
"381";234,42
"382";370,39
"383";271,42
"384";361,36
"385";302,4
"386";361,73
"387";199,23
"388";99,52
"389";140,69
"390";186,63
"391";192,33
"392";194,69
"393";208,07
"394";761,61
"395";188,99
"396";217,38
"397";96,6
"398";263,46
"399";104,2
"400";133,6
"401";173,94
"402";98,36
"403";242,25
"404";300,09
"405";93,27
"406";282,54
"407";264,15
"408";186,44
"409";232,06
"410";586,01
"411";368,07
"412";266,84
"413";282,44
"414";295,04
"415";220,2
"416";151,29
"417";185,89
"418";154,21
"419";186,03
"420";183,34
"421";393,5
"422";194,92
"423";237,8
"424";146,25
"425";189,36
"426";184,45
"427";11063,92
"428";234,28
"429";112,67
"430";463,56
"431";148,28
"432";188,94
"433";227,34
"434";210,8
"435";196,03
"436";252,48
"437";186,35
"438";191,49
"439";256,28
"440";188,48
"441";284,67
"442";134,67
"443";533,86
"444";202
"445";192,37
"446";782,87
"447";338,39
"448";185,56
"449";296,2
"450";248,36
"451";185,47
"452";231,64
"453";140,5
"454";187,88
"455";205,01
"456";185,47
"457";216,27
"458";191,31
"459";228,49
"460";209,6
"461";267,39
"462";186,58
"463";747,12
"464";507,6
"465";443,42
"466";93,27
"467";100,03
"468";199,83
"469";315,23
"470";158,29
"471";135,18
"472";331,02
"473";186,81
"474";185,89
"475";298,47
"476";187,93
"477";198,62
"478";717,76
"479";456,43
"480";141,2
"481";343,9
"482";96,79
"483";423,74
"484";335,98
"485";421,93
"486";209,46
"487";190,66
"488";245,17
"489";296,11
"490";227,29
"491";116,98
"492";186,86
"493";215,76
"494";187,56
"495";111,42
"496";131,66
"497";195,29
"498";140,13
"499";193,76
"500";188,39
"501";246,09
"502";664,69
"503";140,97
"504";504,83
"505";218,63
"506";188,76
"507";234,7
"508";189,18
"509";910,78
"510";283,83
"511";176,07
"512";267,3
"513";186,35
"514";217,89
"515";185,7
"516";144,63
"517";305,51
"518";188,2
"519";5149,35
"520";355,94
"521";315,7
"522";742,12
"523";415,49
"524";204,64
"525";212,52
"526";227,89
"527";219,23
"528";279,57
"529";151,34
"530";502,09
"531";626,9
"532";131,75
"533";235,07
"534";642,97
"535";300,04
"536";474,72
"537";189,22
"538";189,41
"539";223,58
"540";286,47
"541";219,42
"542";479,59
"543";427,53
"544";187,6
"545";188,06
"546";858,49
"547";192,97
"548";362,14
"549";262,21
"550";177,32
"551";199,23
"552";205,25
"553";236,37
"554";228,49
"555";311,57
"556";156,67
"557";185,98
"558";337,51
"559";246,51
"560";190,8
"561";188,25
"562";193,81
"563";186,63
"564";197,98
"565";187,93
"566";210,94
"567";322,87
"568";111,61
"569";194,69
"570";174,64
"571";191,58
"572";411,65
"573";300,37
"574";136,06
"575";204,69
"576";98,83
"577";198,02
"578";242,76
"579";140,83
"580";186,35
"581";186,03
"582";314,91
"583";190,7
"584";230,62
"585";1947,57
"586";166,99
"587";191,72
"588";236,97
"589";286,89
"590";187,6
"591";240,12
"592";232,71
"593";258,73
"594";488,25
"595";192,33
"596";189,32
"597";152,22
"598";345,43
"599";215,39
"600";191,03
"601";190,84
"602";185,8
"603";324,54
"604";189,87
"605";103,5
"606";413,13
"607";187,42
"608";187,74
"609";191,35
"610";192,09
"611";218,12
"612";902,63
"613";200,85
"614";237,62
"615";211,08
"616";110,73
"617";98,22
"618";171,86
"619";216,87
"620";97,39
"621";205,48
"622";195,15
"623";156,2
"624";186,21
"625";257,34
"626";327,92
"627";235,72
"628";1965,58
"629";215,11
"630";302,5
"631";293,98
"632";245,07
"633";501,35
"634";189,78
"635";511,08
"636";187,69
"637";217,1
"638";451,75
"639";188,94
"640";459,86
"641";231,18
"642";322,27
"643";154,49
"644";322,36
"645";276,84
"646";1758,07
"647";221,87
"648";188,25
"649";215,8
"650";338,02
"651";101,05
"652";145,37
"653";704,88
"654";185,47
"655";185,7
"656";445,41
"657";184,82
"658";232,15
"659";114,66
"660";341,81
"661";211,31
"662";194,83
"663";225,39
"664";198,76
"665";139,35
"666";506,77
"667";579,38
"668";190,15
"669";294,9
